Year,60_to_79,0_to_19,40_to_59,90_plus,80_to_89,20_to_39
1990,13.9768388739,28.7462560977,15.8834387373,0.398563863377,2.39732390801,33.1351159419
1991,13.8265883522,28.7196415545,16.0379651009,0.423511386507,2.46531033983,32.8528288446
1992,13.6770169306,28.7219158897,16.1988572012,0.442213924748,2.51609248912,32.5287055814
1993,13.5431686999,28.7367513945,16.397989893,0.453033312194,2.54830873464,32.164788643
1994,13.4372503704,28.7409626878,16.6649098075,0.456702224774,2.564148149,31.7684552614
1995,13.3602292585,28.7216525583,17.0006569286,0.452162843895,2.57102109661,31.3516370156
1996,13.2205854862,28.7335032774,17.3442948716,0.484907735852,2.59754722246,30.8957347193
1997,13.1163827381,28.6869217677,17.7352971576,0.512753704781,2.61864774837,30.4565693416
1998,13.0458098946,28.6068924414,18.1527314869,0.529927372598,2.64042006455,30.0305927074
1999,13.0033960758,28.5195068669,18.5626569596,0.530693436223,2.66818347258,29.6184952475
2000,12.9867200793,28.4282286173,18.9430267881,0.511280231681,2.70570775401,29.2296365819
2001,12.9514123207,28.2906485691,19.3177065987,0.534955681951,2.7580191952,28.8444113592
2002,12.9450540283,28.1735731167,19.6516506224,0.551542041959,2.7997567463,28.4751935436
2003,12.9880419229,28.0486750418,19.9410875703,0.556558931079,2.83086110385,28.1441347555
2004,13.1044311977,27.8836834227,20.1820434665,0.548511954548,2.85190056627,27.8734006887
2005,13.3028096695,27.6707047336,20.370112903,0.527262755625,2.86676621318,27.6691764005
2006,13.4803998651,27.5619437039,20.4550360832,0.56344009762,2.90081541349,27.4376971152
2007,13.7297021949,27.4021089847,20.4947216805,0.593642188125,2.93301554702,27.2609985588
2008,14.0402321133,27.2087650108,20.5040626523,0.613959898591,2.96474983345,27.1261813723
2009,14.3985713127,27.0053166767,20.5012641898,0.621955799709,2.99136032921,27.0170921443
2010,14.7969129088,26.8010879959,20.4958212824,0.615039549508,3.01020759357,26.9260750189
2011,15.1826233644,26.5875204577,20.4316296333,0.654960014644,3.0116517549,26.896475246
2012,15.5921913654,26.3087619923,20.4267313478,0.689067562424,3.009424746,26.9133303641
2013,16.0153035204,25.9868785156,20.4783511135,0.711591738683,3.01378854535,26.9576644833
2014,16.4549593911,25.6667968723,20.5202013792,0.719027961159,3.02806960821,27.0076809907
2015,16.9199865231,25.3900578323,20.4709036584,0.710167577405,3.05042895202,27.0491216852
2016,17.3581721445,25.2124206549,20.2369151776,0.750606597821,3.04664227933,27.0856490031
2017,17.8120517053,25.1273478848,19.870725821,0.784422924345,3.03970135595,27.089480779
